Responsible,Confirmed By,Confirmed At,External Case ID,Organization,Country,No. of Machines,Smartflow Last Event,Pleteo Last Event,Case Status,Investigation Status,Investigator
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,774725#2,Banco Itaú Chile,Chile,14,2026-09-06,2023-01-31,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,448902#1,Integracomercial,Colombia,7,2026-09-07,2024-01-30,Pre-Qualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,699579#1,Fdarq,Peru,27,2026-09-18,2024-09-05,Pre-Qualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,321485#1,Construction JK SAS Salcedo,Colombia,9,2026-09-07,2024-08-28,Pre-Qualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,925311#1,Mirabilia Desarrollos,Argentina,22,2026-09-18,2025-03-25,Pre-Qualified,03. Investigator - Disqualified (Data),"Mariadelaida Suarez, Maria Suros"
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,359774#1,Patagonia Flooring,Argentina,27,2026-09-21,2025-04-24,Pre-Qualified,03. Investigator - Disqualified (Entity Profiling),Luis Indriago
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,556198#1,Redcoto,Argentina,45,2026-09-15,2025-04-25,Pre-Qualified,06. Launched,Luis Indriago
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,707942#1,M2R Arquitectos,Argentina,17,2026-09-08,2025-04-24,Pre-Qualified,03. Investigator - Disqualified (Data),Maria Suros
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,617335#1,Constructoraarq,Colombia,12,2026-09-08,2025-04-08,Pre-Qualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,2077688#1,Estudio Base,Chile,8,2026-09-07,2025-05-05,Pre-Qualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,450539#1,MTVD Design,Argentina,40,2026-09-07,2025-04-21,Pre-Qualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,699098#4,Ark,Colombia,28,2026-09-21,2025-05-29,Unqualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,452383#1,entrearquitectosestudio,Colombia,9,2026-09-21,2025-05-29,Unqualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-09-25 01:05:59,498126#1,Inmunizadora Serye S.A.,Colombia,19,2026-09-21,2025-05-26,Pre-Qualified,06. Launched,
