Responsible,Confirmed By,Confirmed At,External Case ID,Organization,Country,No. of Machines,Smartflow Last Event,Pleteo Last Event,Case Status,Investigation Status,Investigator
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1175206#1,Constructora Daniel Salinas y Cia,Chile,4,2026-08-20,2023-08-08,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,3408494#1,Anfarquitectos,Chile,5,2025-09-25,2023-07-12,Aborted (Closed),06. Launched,Emil Bechara
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,534699#1,Panestudio,Chile,18,2026-08-14,2024-05-24,Aborted (Closed),06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,555786#1,PTM Studio Design.,Ecuador,6,2026-06-01,2024-05-23,Below Threshold,06. Launched,Emil Bechara
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,597966#1,David Segundo Murillo Soto,Colombia,12,2026-05-07,2024-04-17,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,601256#1,ARCONSA - Architecture and Construction S.A.,Colombia,22,2026-02-21,2024-01-31,Aborted (Closed),06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,607227#1,Constructora Decoim,Chile,9,2026-07-28,2024-08-16,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,3259321#1,Kinara Piedra & Porcelanato,Ecuador,5,2026-08-17,2024-08-29,Below Threshold,06. Launched,Emil Bechara
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,576374#1,5INCO ARQUITECTOS,Colombia,10,2026-07-24,2024-09-10,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1072100#1,Erwin Patricio Cordova Santander,Chile,3,2026-08-21,2024-10-01,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,2037907#1,Joselín Pablo González M. Arquitecto,Chile,4,2026-07-26,2024-08-27,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,600789#1,ANDRES LABORDE arquitecto,Chile,5,2026-03-30,2024-07-17,Below Threshold,06. Launched,Ives Romero
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1875100#1,Aureadp,Colombia,3,2026-06-26,2024-10-19,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,548160#1,High Class,Colombia,13,2026-07-04,2024-10-16,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1106535#1,Bethlemitasbogota,Colombia,12,2026-05-16,2024-08-28,Aborted (Closed),06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1983580#1,AquaNatural,Chile,3,2026-08-11,2025-01-07,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,298273#1,Inmobiliaria Independencia,Chile,12,2026-07-27,2024-12-06,Aborted (Closed),06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,661645#1,Arquitectura y Ambientes Diomo,Colombia,8,2026-06-13,2024-12-07,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1312330#1,Tridimensionar S.A.,Colombia,4,2026-08-18,2025-01-19,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1764480#1,Gestora Urbana,Colombia,4,2026-06-03,2024-11-30,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,478857#1,Jannina Cabal & Arquitectos,Ecuador,6,2026-08-05,2025-01-07,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,938720#1,Construcciones Y Urbanizaciones SAS,Colombia,8,2026-08-15,2025-02-21,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1030512#1,Mario Carlos Patricio Echenique,Chile,10,2026-04-15,2024-11-06,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,2511349#1,Ambientes & Diseños,Colombia,3,2026-06-19,2024-12-19,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,605055#1,Servex Colombia S.A.S,Colombia,12,2026-03-31,2024-10-07,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1127588#1,Inmobiliaria y Constructora Bellavista Ltda.,Chile,5,2026-08-03,2025-03-26,Unqualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1104743#1,AMHA Design,Ecuador,11,2026-06-04,2025-01-17,Pre-Qualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1626522#1,Proyectonn,Colombia,3,2026-08-11,2025-04-04,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1026303#1,G5 Arquitectos,Chile,10,2026-08-06,2025-03-10,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,492822#1,Beltec,Chile,11,2026-08-20,2025-04-08,Aborted (Closed),06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,419089#2,Nexxo S.A,Chile,17,2026-08-18,2025-04-13,Unqualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1239282#1,Duran y Charris Arquitectos Asociados S.A.S-900366944-3,Colombia,13,2026-08-12,2025-05-09,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1548555#1,Coxarq,Chile,7,2026-08-04,2025-04-26,Unqualified,06. Launched,Ives Romero
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1102120#1,Studiobamboo,Colombia,3,2026-07-20,2025-04-07,Unqualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,2294800#1,Al Borde,Ecuador,4,2026-08-14,2025-04-24,Unqualified,06. Launched,Emil Bechara
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1360151#1,Proyecta SPA,Chile,3,2026-08-18,2025-05-13,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1291983#1,Jorge Guzmán - Arquitecto Paisajista,Colombia,3,2026-08-04,2025-05-02,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1911285#1,Corriente Mobiliaria,Chile,3,2026-08-17,2025-04-17,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1627509#1,EASA,Ecuador,5,2026-08-20,2025-05-16,Unqualified,06. Launched,Emil Bechara
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1627392#1,Tecnoasfaltos,Ecuador,4,2026-07-20,2025-04-17,Below Threshold,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1098069#1,Constructora de Vicente S.A.,Chile,10,2026-06-08,2025-03-15,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,878424#1,Representando a Mas y Fernandez Ltda.,Chile,11,2026-07-23,2025-05-22,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1157764#1,Cristobal Andres Tirado Luchsinger,Chile,10,2026-08-20,2025-05-21,Below Threshold,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1067671#1,Christus,Colombia,12,2026-08-21,2025-05-23,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,883930#1,BANCO DE OCCIDENTE,Colombia,34,2026-08-19,2025-06-01,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,367739#1,Arquitecturayconcreto,Colombia,35,2026-08-19,2025-05-21,Unqualified,06. Launched,Pedro Alfonzo
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,995902#1,Plural Arquitectos Ltda,Chile,19,2026-08-12,2025-05-28,Unqualified,06. Launched,Ives Romero
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1296418#1,Factoria Cerosiete,Chile,6,2026-08-20,2025-05-22,Unqualified,06. Launched,Ives Romero
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,2167162#1,Stuario,Colombia,5,2026-08-18,2025-05-30,Unqualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,546817#1,Enrique Runge,Chile,4,2026-08-21,2025-05-30,Unqualified,06. Launched,
Jesus Ameneiro,jesus@ruvixx.com,2026-08-25 20:11:42,1190326#1,Grupoferretti,Ecuador,26,2026-08-19,2025-06-05,Unqualified,06. Launched,
