Responsible,Confirmed By,Confirmed At,External Case ID,Organization,Country,No. of Machines,Smartflow Last Event,Pleteo Last Event,Case Status,Investigation Status,Investigator
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,591067#1,Puntodestino,Mexico,3,2026-09-17,2022-10-23,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4328516#1,Habita,Mexico,6,2026-09-18,2024-04-21,Unqualified,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4448285#1,Multilimpieza de Piedras Negras,Mexico,1,2026-09-07,2025-02-12,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4467221#1,Econosolar,Mexico,1,2026-08-29,2025-03-19,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4513731#1,Relsamex,Mexico,2,2026-09-09,2025-03-20,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4415473#1,Ggproyectos,Mexico,4,2026-07-30,2025-03-26,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4500916#1,Eurekinmobiliaria,Mexico,3,2026-09-18,2025-05-16,Unqualified,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4503392#1,Packzone,Mexico,1,2026-09-19,2025-05-22,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4500519#1,VIVICA,Mexico,1,2026-09-18,2025-05-22,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4526744#1,Cearquitectura,Mexico,3,2026-09-18,2025-05-23,Unqualified,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4507877#1,Madecorpuebla,Mexico,2,2026-07-31,2025-05-22,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4491405#1,Sspin,Mexico,2,2026-03-04,2025-01-02,Aborted (Closed),,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4366318#1,Dozearch,Mexico,1,2026-08-25,2025-05-27,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4223648#1,Proyectosplasa,Mexico,2,2026-07-02,2025-05-21,Unqualified,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4403088#1,Globalevents1,Mexico,2,2026-04-25,2025-05-23,Below Threshold,,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4514835#1,Mobiusdesign,Mexico,2,2026-01-16,2025-03-24,Aborted (Closed),,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4526545#1,Belte,Mexico,1,2025-08-31,2025-05-22,Aborted (Closed),,
Luis Indriago,luisindriago@ruvixx.com,2026-09-22 21:58:23,4468095#1,Dynamicelecusa,El Salvador,1,2026-08-30,2026-06-28,Below Threshold,,
