Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4468582#1,Banco Central De Reserva Del Peru,Peru,2,15-Aug-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4665900#1,Tesoro,Peru,1,15-Aug-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4665810#1,Solardesign360,Peru,1,15-Aug-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,2951990#1,Imsshoc Sac,Peru,2,15-Aug-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4550487#1,Als,Peru,1,15-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4654581#1,Lamobiliaria,Peru,1,15-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4490561#1,Simpleexpress,Peru,1,15-Aug-26,Below Threshold,"SketchUp Pro 2021, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4665881#1,Sensia,Peru,1,15-Aug-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4489397#1,Studio,Peru,1,15-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4467860#1,Ltusaperu,Peru,1,14-Aug-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4603655#1,Galba,Colombia,1,12-Aug-26,Unqualified,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4621297#1,Cimetricaestudio,Colombia,1,11-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4576847#1,Consorcioayp2022,Colombia,1,11-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4664827#1,Arengaspl,Colombia,1,11-Aug-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4652795#1,Continental Gold Limited,Colombia,1,11-Aug-26,Below Threshold,SketchUp Pro 2020,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4595386#1,Otransalt,Colombia,1,11-Aug-26,Unqualified,"SketchUp 2025, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4664974#1,Aquimsas,Colombia,1,11-Aug-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4654607#1,Tsites,Colombia,1,11-Aug-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4664948#1,Constructorapysgroup,Colombia,1,11-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4602447#1,Bniya,Chile,1,10-Aug-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4535783#1,Punto Mayorista TechCol S.A.S,Colombia,1,10-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4664461#1,Rsmingenieria,Chile,1,10-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4599576#1,Docevolts,Chile,1,24-Jun-26,Unqualified,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4564909#1,Electroarica,Chile,1,23-Jun-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4606779#1,Zerdigital,Chile,1,22-Jun-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4574332#1,Gorebiobio,Chile,1,22-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4651219#1,Andesco,Chile,1,22-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4605290#1,Seital,Chile,1,20-Jun-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4652907#1,Emergas,Chile,1,20-Jun-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4652881#1,Uriosteyrazeto,Chile,1,19-Jun-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4582087#1,Consejo Nacional Electoral (Azuay) Cne,Ecuador,1,06-Jan-26,Aborted (Closed),SketchUp Pro,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4593502#1,Gruposcanner,Ecuador,1,30-Dec-25,Aborted (Closed),SketchUp Pro,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-20 01:53:48,4532019#1,KIGAL,Ecuador,1,29-Dec-25,Aborted (Closed),SketchUp Pro,Difference
