Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,2919455#1,Paracas Investments,Peru,3,07-Aug-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4660731#1,Mupa,Argentina,4,07-Aug-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,688964#2,servicios generales aragon s.a.c.,Peru,6,05-Aug-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,1842320#1,GRUPO RENDER | Arquitectura Publicitaria y Comercial,Peru,3,01-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4551461#1,Softperu2023,Peru,3,01-Aug-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,2393014#1,Federico MonzÃ³n,Argentina,3,30-Jul-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,527589#1,Instituto De Educacion Superior Tecnologico Privado Toulouse Lautrec S.A.C.,Peru,54,20-Jul-26,Aborted (Closed),"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,995562#1,J & M IT Solutions S.A.C,Peru,4,14-May-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2018, SketchUp Pro 2019",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4589435#1,Valentina,Peru,3,13-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,696487#3,Prodise SRL,Peru,4,11-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4449391#1,Gesaser,Peru,4,11-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,1643041#1,Imagex Color SAC,Peru,4,11-May-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4596795#1,Consorciohuascaran,Peru,4,09-May-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4500788#1,Jaga Ponce,Peru,3,07-May-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4577964#1,Ultra Sac,Peru,3,04-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4533311#1,Checkinproyectos,Peru,6,02-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,1569352#2,Roberto Ruiz Coba,Peru,3,30-Apr-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-08-14 21:51:33,4497551#1,Plasticaucho,Peru,4,26-Apr-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2022",Difference
