case_id,organization_name,country,added_at
2466027#1,Umag,Mexico,2026-06-17 19:22:59
4422892#1,Uip,Panama,2026-06-17 19:22:59
1780605#1,UNIVERSIDAD TECNICA LATINOAMERICANA,El Salvador,2026-06-17 19:22:59
4486948#1,Udet,Mexico,2026-07-02 00:47:33
4423055#1,Unapec,Dominican Republic,2026-07-02 00:47:33
2037630#1,Purity of Maria College (Colegio Pureza de Maria),Panama,2026-07-02 00:47:33
3438132#1,Liceocoatepeque,Guatemala,2026-07-02 00:47:33
696747#1,Hospital Metropolitano Vivian Pellas,Nicaragua,2026-07-02 00:47:33
493766#1,Hector Hinojosa,Mexico,2026-07-02 01:52:11
913424#1,Gov,Mexico,2026-07-02 01:52:11
1094556#1,Universidad Evang�lica De El Salvador,El Salvador,2026-07-02 01:52:11
1075783#1,Luigysmoving,El Salvador,2026-07-02 01:52:11
4651571#1,Universidadnuevalaguna,Mexico,2026-07-03 01:03:58
4655496#1,Tid=Bc0f22b8-65cc-4083-8dcc-D5f094548f79,Mexico,2026-07-03 01:03:58
4533676#1,5c4c26ec-9cdb-4983-8b77-Bbb720550263,Mexico,2026-07-03 01:03:58
4529489#1,Colegiocervantes,Mexico,2026-07-03 01:03:58
4592236#1,Colegiomixtobelen,Guatemala,2026-07-03 01:03:58
4655431#1,701d9a95-3daf-4a52-Ab92-6e4fa19c1dcb,Bolivia,2026-07-03 22:22:56
4654925#1,Colegiofarina,Ecuador,2026-07-03 22:22:56
4653144#1,Universidadcatolica,Paraguay,2026-07-03 22:22:56
4585273#1,74ab46a1-1033-44cd-B47a-Bbbd2ff1375b,Chile,2026-07-03 22:22:56
4645079#1,Colegio Claudio Matte Viña Del Mar Campus,Chile,2026-07-03 22:22:56
4654831#1,Lincebol,Bolivia,2026-07-03 22:22:56
4613508#1,Uiix,Mexico,2026-07-08 13:38:38
4538417#1,Uceimexico,Mexico,2026-07-08 13:38:38
4597405#1,Schoolgeometrium,Dominican Republic,2026-07-08 13:38:38
4343981#1,Universidad Metropolitana de Honduras,Honduras,2026-07-08 13:38:38
736684#2,Unacifor,Honduras,2026-07-10 01:00:12
4549703#1,Instituto Panamericano,Panama,2026-07-10 17:57:50
4509600#1,Ussisdepartment,Honduras,2026-07-10 17:57:50
1476452#1,Mayatanschool,Honduras,2026-07-10 17:57:50
4546201#1,Colegiopaulamontalsc,Chile,2026-07-12 21:21:19
4594269#1,Colegioalmendral,Chile,2026-07-12 21:21:19
4632118#1,Tel Aviv University,Ecuador,2026-07-12 21:21:19
4603078#1,Instituto,Paraguay,2026-07-12 21:21:19
4548312#1,National University of La Matanza,Argentina,2026-07-15 16:51:07
4554664#1,Grupoeducacion,Chile,2026-07-15 16:51:07
2899260#2,Colegio Sagrado Corazón,El Salvador,2026-07-16 02:06:55
4477100#1,Unah,Peru,2026-07-22 00:17:29
2452848#1,Colegioadventista,Peru,2026-07-22 00:17:29
4608349#1,Universidad Nacional Hermilio Valdizan,Peru,2026-07-22 00:17:29
4612571#1,Municipalidad de San Isidro,Argentina,2026-07-22 00:17:29
4577722#1,La Iglesia Universal Del Reino De Dios,Argentina,2026-07-22 00:17:29
1311406#1,Institutovelez,Argentina,2026-07-22 00:17:29
4660274#1,2010a1a2-7b76-40cb-9a15-37a117cc435c,Dominican Republic,2026-07-23 16:01:36
4452274#1,Colegiobelloshorizonteslasrosas,Guatemala,2026-07-23 16:01:36
4450550#1,Colegioestrellitas,Guatemala,2026-07-23 16:01:36
4546918#1,D7edb21f-27e5-4f4a-Bb89-3333a92743b5,Dominican Republic,2026-07-24 22:06:06
4564024#1,04e67692-F24c-4a59-A8a6-A1cf1ccbc04d,Dominican Republic,2026-07-24 22:06:06
3414920#2,Secretary of State in the Energy Office (SEN),Honduras,2026-07-24 22:06:06
4613450#1,1c7cb5dc-Ba9c-4e2d-Acbc-2b1d051abf87,Costa Rica,2026-07-24 22:06:06
4613444#1,233d3770-D855-45cc-Ad0b-3cfdee0adadb,Costa Rica,2026-07-24 22:06:06
4640255#1,7f9325be-Faf2-4858-801a-8fa06ab66daf,Costa Rica,2026-07-24 22:06:06
4577589#1,Ce0454d8-E4d5-4241-8583-7bcc2169c73f,Mexico,2026-07-27 16:19:02
4641884#1,Cb6a599a-Fa49-4c91-8936-48c162554227,Mexico,2026-07-27 16:19:02
