Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4669966#1,Bizlogit,Argentina,1,12-Sep-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4567315#1,Limpieza En Gral Siltuc S.R.L.,Argentina,1,11-Sep-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4667734#1,Lifestyledevelopers,Argentina,1,11-Sep-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4641826#1,Grupounoenuno,Argentina,1,11-Sep-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4566508#1,Hpenna,Argentina,2,11-Sep-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4649140#1,Danodis S.A,Argentina,1,09-Sep-26,Below Threshold,SketchUp Pro 2020,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4551879#1,Dai,Argentina,1,09-Sep-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4649488#1,Dellavalleycia,Argentina,1,09-Sep-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4613013#1,Club Champagnat,Argentina,2,09-Sep-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4671086#1,Smandes,Argentina,1,09-Sep-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,2996770#2,Amrol,Peru,1,08-Sep-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-22 18:46:28,4537274#1,Rjcconstructora,Peru,1,08-Sep-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
