Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,1006636#1,Tempbuyer,Mexico,2,18-Aug-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4342460#1,Amo,Mexico,2,17-Aug-26,Unqualified,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4433036#1,Verdadera,Mexico,1,17-Aug-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2022",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4182816#1,Yaxkinsmacbookpro,Mexico,1,17-Aug-26,Aborted (Closed),"SketchUp Make 2016, SketchUp Make 2017",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,2291552#1,MDV Lights,Mexico,2,17-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,1644821#1,Themify,Guatemala,1,16-Aug-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2019",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4444549#1,Tidissajiiu,Dominican Republic,2,16-Aug-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,2465173#1,Rapiditocleaningcompany,El Salvador,1,15-Aug-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2022",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,1344370#1,Jj,Panama,1,15-Aug-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4396221#1,Keyfundgroup,Panama,1,15-Aug-26,Below Threshold,SketchUp Pro 2021,Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,1124668#1,Ivan S.A. De C.V.,El Salvador,2,15-Aug-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2019, SketchUp Pro 2021",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4522139#1,Grupodi,Panama,1,14-Aug-26,Unqualified,"SketchUp 2025, SketchUp Pro 2020",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,3273711#1,Refrigeración Industrial Beirute,Costa Rica,2,14-Aug-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2023",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4495949#1,Marrodsa,Guatemala,1,14-Aug-26,Below Threshold,SketchUp Pro 2022,Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,3874833#1,Vectorquince,Guatemala,2,14-Aug-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,2407613#1,Pafrave,Costa Rica,2,14-Aug-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2019",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,3863819#1,Apoyoinmobiliario,Guatemala,2,13-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4372096#1,Pancake,Costa Rica,1,13-Aug-26,Unqualified,SketchUp Pro 2023,Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4521751#1,Florianlatifi,Costa Rica,1,13-Aug-26,Unqualified,"SketchUp 2024, SketchUp 2025",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,1030341#1,Kashima System,El Salvador,2,12-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Make 2017",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,4133651#1,Unitorni,Costa Rica,1,12-Aug-26,Below Threshold,SketchUp Pro 2021,Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-08-19 01:12:38,2192732#1,The Garciass,Guatemala,1,12-Aug-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2021",Outdated
