Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,1159301#1,Comercial Cl Limitada,Chile,9,23-Aug-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,3792657#2,Aprendoencasa,Peru,54,23-Aug-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,1596362#1,Eurovent Chile,Chile,5,23-Aug-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,558477#1,Mobilia By Masaro,Ecuador,4,23-Aug-26,Unqualified,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,1068929#1,Disaromati,Ecuador,378,23-Aug-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,912553#2,ooo11,Chile,12,23-Aug-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,1078888#1,Decostudio Perú,Peru,18,23-Aug-26,Unqualified,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,861479#2,University of Saint Francis Xavier,Bolivia,233,22-Aug-26,Aborted (Closed),"SketchUp 2024, SketchUp 2026, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,3874074#1,Viva Air,Colombia,3,22-Aug-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-23 23:04:01,3371241#2,Celuwork Sas,Colombia,11,22-Aug-26,Unqualified,"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
