Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4315920#1,Taylor,Peru,2,21-Jul-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4458609#1,Tpssac,Peru,1,21-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4658538#1,GYV arquitectura y construccion,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4584371#1,Bnaviajes,Argentina,1,21-Jul-26,Unqualified,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4650570#1,Chapelco,Argentina,1,21-Jul-26,Unqualified,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4488859#1,Altisa,Peru,2,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4523355#1,Practicall S.A.C,Peru,1,21-Jul-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4660121#1,Erre2arquitectura,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4660102#1,Sigmaconst,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4519960#1,Zamoraestructuras,Peru,1,21-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4596676#1,Alep,Peru,1,21-Jul-26,Unqualified,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4654830#1,Conexion Digital Fibra Optica Sas,Colombia,1,21-Jul-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4566496#1,Magmaarqingenieria,Argentina,1,21-Jul-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4660109#1,Hellofrank,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4548621#1,Cronack,Colombia,1,21-Jul-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4537472#1,ZAHE Proyectos,Peru,1,21-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4649165#1,Palomaarcaestudio,Peru,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4515454#1,Luminicos,Peru,1,21-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4648889#1,Loustauarquitectos,Argentina,1,21-Jul-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4660282#1,Inorder,Peru,1,21-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4660262#1,Bersapolicarbonato,Argentina,1,21-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4658352#1,Califica,Peru,1,21-Jul-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4660275#1,Terrasol,Peru,1,21-Jul-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4598197#1,Mueblesamericanos,Peru,1,21-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4645074#1,Tribuhogar,Argentina,1,21-Jul-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4620665#1,Dejesuconstructora,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4647568#1,Menor,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4644996#1,Montajepaico,Peru,1,21-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4583213#1,Winchaarquitectos,Peru,1,21-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4651737#1,Trabuchistudio,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4625698#1,Almajewels,Argentina,1,21-Jul-26,Unqualified,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4524470#1,Titi,Argentina,1,21-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4636327#1,Gaviladc,Colombia,1,20-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4535791#1,Acvltda,Colombia,1,20-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4659773#1,Mundoinspiradoz,Colombia,1,20-Jul-26,Below Threshold,"SketchUp Pro 2021, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4650258#1,Capaztaller,Colombia,1,19-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4593270#1,Wpcg,Colombia,1,19-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4631167#1,Jhongiraldoarquitectos,Colombia,1,18-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4577508#1,150celsiainternet,Colombia,1,18-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4651840#1,Rioscolor,Chile,1,17-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4659416#1,Arqsc,Chile,1,17-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4576818#1,Sinquiver,Chile,1,17-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4592640#1,Intercaldas Sas,Colombia,2,17-Jul-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4532392#1,Designbynuke,Chile,1,17-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4576040#1,Chilongkuajing,Chile,1,17-Jul-26,Below Threshold,"SketchUp Pro 2020, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,516504#2,Atiaconstrucciones,Colombia,1,17-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4657511#1,Elmanor,Colombia,1,17-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4659127#1,Yemapan,Colombia,1,17-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4659233#1,Tecninoxsa,Ecuador,1,16-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4597948#1,Murphybedscol,Colombia,2,16-Jul-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4656774#1,Construccionesrh,Colombia,1,16-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4587896#1,May,Ecuador,1,16-Jul-26,Unqualified,"SketchUp Pro 2020, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4553345#1,Estudiosolido,Chile,1,15-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4606636#1,Netsouth,Chile,2,15-Jul-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4658994#1,Gadmejia,Ecuador,1,15-Jul-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4658842#1,Clavecuador,Ecuador,1,15-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4605758#1,0004aeb9-3cf8-4925-A804-E9de6a684bb0,Chile,1,14-Jul-26,Aborted (Closed),SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4645840#1,Savaargos,Chile,1,14-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4658034#1,Odocapitalinvestment,Ecuador,1,12-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4568143#1,Electrovial,Chile,1,11-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4645134#1,Mdn,Ecuador,1,17-May-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4575991#1,Ksti,Ecuador,1,15-May-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4652503#1,Z Arquitectos,Ecuador,1,15-May-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4613940#1,Apple,Ecuador,1,14-May-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4644121#1,Libreria Espanola Cia. Ltd.,Ecuador,1,12-May-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4644135#1,Ce2d66bf-E695-45a1-8e4d-E40f174fead1,Ecuador,1,12-May-26,Aborted (Closed),SketchUp Pro 2019,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4643606#1,Institutoohiggins,Ecuador,1,11-May-26,Aborted (Closed),SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4535307#1,Terrocal Construcciones y Servicios,Ecuador,2,11-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4541953#1,Skynet Ec,Ecuador,1,11-May-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4591544#1,Adeadigital,Ecuador,1,09-May-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4641342#1,Gobernaciondecochabamba,Bolivia,1,29-Apr-26,Below Threshold,SketchUp Pro 2018,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4589200#1,Aselingenieria,Bolivia,1,28-Apr-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-25 23:09:40,4596780#1,Sapcon,Bolivia,1,27-Apr-26,Below Threshold,SketchUp 2026,Difference
