Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1997075#1,"El cuartito del fondo""""",Argentina,4,29-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1028792#1,Hotmaigl,Argentina,3,28-Jul-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4605271#1,Rallón Ingeniería y Arquitectura,Colombia,3,28-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4628243#1,Waposat,Peru,4,27-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,2489067#1,Coarsm,Peru,3,24-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4588069#1,Doselarquitectos,Peru,3,24-Jul-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4488928#1,Invicta,Peru,3,23-Jul-26,Below Threshold,"SketchUp Pro 2022, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1531979#1,Universitario,Peru,5,22-Jul-26,Aborted (Closed),"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,963533#1,Adolfo Vera,Peru,5,22-Jul-26,Below Threshold,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4320331#1,Laive,Peru,3,22-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2020, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4251310#1,Sunshineexport,Peru,4,20-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,3364080#2,Deselling,Peru,26,20-Jul-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4564919#1,Shreeinterior,Peru,5,20-Jul-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1359622#1,Sc,Colombia,3,17-Jul-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2020, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4488790#1,Movilgroup,Peru,3,14-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4512696#1,Opt Cir409,Peru,3,14-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,2163762#1,Macadam Perú,Peru,4,14-Jul-26,Below Threshold,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2017",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,905053#1,Gmc,Peru,3,13-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2017, SketchUp Pro 2018",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4515207#1,Hiroarquitectos,Peru,3,12-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,3583765#1,Gran Mercado Mayorista De Lima,Peru,3,12-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2018, SketchUp Pro 2019",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,2167976#1,Presla Sac,Peru,5,11-Jul-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1859126#1,Soltrak,Peru,3,09-Jul-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4489319#1,Basher,Peru,3,08-Jul-26,Below Threshold,"SketchUp 2024, SketchUp 2025",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4453695#1,Temoinsa,Peru,3,06-Jul-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp 2026",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4520651#1,One Monte,Peru,4,03-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4521739#1,Ilahuiperu,Peru,4,03-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4596044#1,Goenjoyperu,Peru,3,30-Jun-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4503788#1,Biosoporteperu,Peru,3,29-Jun-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1364440#1,Peruserver SAC,Peru,3,26-Jun-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,3410749#1,Tradesandder,Peru,4,23-Jun-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4549769#1,Consorciogczorion,Peru,3,18-Jun-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4483909#1,Unicontrol,Peru,3,17-Jun-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,3272130#1,Metbam Cg Jjm S.R.L.,Peru,3,06-Jun-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4470456#1,Premierchi,Peru,4,02-Jun-26,Unqualified,"SketchUp Pro 2022, SketchUp Pro 2023",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1287609#1,Triada Constructora e Inmobiliaria,Peru,3,27-May-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2018",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,3407724#1,Telefonica Internet Services,Peru,3,27-May-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2019, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4599097#1,Ragy Peru S.A.C.,Peru,3,20-May-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2018",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,897854#1,Linored Peru S.A.C,Peru,3,18-May-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2021, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,1108309#1,CREDITEX S.A.A.,Peru,5,18-May-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-31 15:17:29,4491385#1,Tectonica,Peru,3,15-May-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp 2026",Difference
