Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4610371#1,Maqmoldst,Mexico,1,26-Jul-26,Below Threshold,SketchUp 2026,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4653814#1,Repare,Mexico,1,26-Jul-26,Below Threshold,SketchUp 2024,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4652522#1,Studio161,Mexico,1,26-Jul-26,Unqualified,SketchUp 2024,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4608908#1,Ffarquitectura,Mexico,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4587617#1,Bokken,Mexico,1,26-Jul-26,Unqualified,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4661060#1,Contractorliberty,Mexico,1,26-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4661171#1,Qcustomslv,Mexico,1,26-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4644281#1,Raizforjada,Mexico,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4533937#1,"SARREAL, S.A. DE C.V.",Mexico,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4630723#1,Hasbaniarq,Mexico,1,26-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4653227#1,Grupollasa,Mexico,1,26-Jul-26,Below Threshold,SketchUp 2026,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4654171#1,Iglesiasalem,Mexico,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4592653#1,Mzmx,Mexico,1,26-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4605618#1,Klostenstudio25,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4608966#1,Cursosadn,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2026,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4620625#1,Ecologicarc,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2026,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4604783#1,Tecnodany,Mexico,2,25-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4622537#1,Tilh,Mexico,1,25-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4596366#1,Grupolo,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2024,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4652772#1,Grupofutura,Mexico,2,25-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4647319#1,Creacolors,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2024,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4622464#1,Depsaproyectos,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2026,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4661027#1,Peiesa,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2026,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4620593#1,Casa Tacher,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4579251#1,Voeclimb,Mexico,1,25-Jul-26,Unqualified,SketchUp Pro 2022,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4622065#1,Picas,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-07-27 16:19:39,4619378#1,Peciconstructora,Mexico,1,25-Jul-26,Below Threshold,SketchUp 2025,Difference
