Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668920#1,Suprotec,Colombia,1,31-Aug-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668888#1,Elisasino,Argentina,1,31-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4549739#1,Charmarket,Argentina,1,31-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,3404416#1,Fahrenheitddb,Peru,2,30-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4667374#1,Grupoamanus,Argentina,1,30-Aug-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668838#1,Barbieristudio,Argentina,1,30-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668892#1,Sanchezcol,Colombia,1,30-Aug-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4641691#1,Somoschimba,Argentina,1,30-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4651136#1,Beam,Peru,2,30-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668839#1,Upservice,Colombia,1,30-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668997#1,Axiswvc,Peru,1,30-Aug-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4631187#1,Armadaproyectos,Peru,1,30-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4666492#1,Quinteropublicidad,Colombia,1,29-Aug-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4651302#1,Grupo Infiniti Sociedad Anonima Cerrada,Peru,2,29-Aug-26,Below Threshold,"SketchUp Pro 2017, SketchUp Pro 2020",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4666822#1,Praagstudio,Peru,1,29-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668805#1,Grupoasp,Chile,1,29-Aug-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4660349#1,Innova Arquitectura e Ingeniería,Peru,2,29-Aug-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668824#1,Litenet,Peru,1,29-Aug-26,Below Threshold,SketchUp 2024,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668704#1,Klv,Chile,1,28-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4573268#1,Argeingenieria,Colombia,1,28-Aug-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4632755#1,Call Net,Colombia,1,28-Aug-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4666654#1,Qbe Seguros S.A,Colombia,1,28-Aug-26,Below Threshold,SketchUp Pro 2019,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4642284#1,Imjep,Colombia,1,27-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4668518#1,Arje,Chile,1,27-Aug-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-09-03 01:40:59,4666896#1,Isoteklatam,Bolivia,2,27-Aug-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2020",Difference
