Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,4227995#1,Ingerproyectos,Colombia,3,09-Aug-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,1139876#1,Claudia Viviana Arrondo,Argentina,21,09-Aug-26,Unqualified,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,1582423#1,S3 Simple Smart Speedy S.A.S,Colombia,64,09-Aug-26,Unqualified,"SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,1679887#1,Giteca Solutions Sac,Peru,48,09-Aug-26,Unqualified,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,3398878#1,Songa,Ecuador,3,09-Aug-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,4120105#1,Representaciones H De C Sac,Peru,16,09-Aug-26,Below Threshold,"SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,3500964#1,Peru Economico,Peru,3,09-Aug-26,Below Threshold,"SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,556023#1,Xmcc,Colombia,6,09-Aug-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,4319592#1,Betty Zevallos,Peru,3,09-Aug-26,Unqualified,"SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
Jesus Ameneiro,jesus@ruvixx.com,2026-08-12 02:21:48,1658409#1,Camilo Jara Correa Y Asociados Limitada,Chile,3,08-Aug-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2020",Outdated
