Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4549629#1,Thehut,Mexico,7,27-Jul-26,Unqualified,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4587764#1,Grupoamrealstate,Mexico,4,27-Jul-26,Unqualified,"SketchUp 2024, SketchUp 2025",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4478768#1,Unioncoffees,Honduras,3,27-Jul-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2022",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4651280#1,Dre,Mexico,3,27-Jul-26,Unqualified,"SketchUp 2024, SketchUp 2026, SketchUp Pro 2022",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,1840348#1,Mantenimientosregionales,Honduras,6,27-Jul-26,Unqualified,"SketchUp 2025, SketchUp Pro 2018, SketchUp Pro 2021, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,1864351#2,Linguatec,Mexico,3,24-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2019",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4654227#1,Más Arquitectura,Mexico,8,24-Jul-26,Unqualified,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4646321#1,Interlub,Mexico,3,24-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4605877#1,Proyectossehs,Mexico,3,24-Jul-26,Unqualified,"SketchUp 2026, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,3625891#2,Rembrandtss,Nicaragua,3,23-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,3865026#1,Canicaexhibits,Mexico,3,23-Jul-26,Unqualified,"SketchUp 2025, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4538851#1,Gafsacomm,Mexico,3,23-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4565704#1,Euclidfurniture,Mexico,3,23-Jul-26,Unqualified,"SketchUp 2025, SketchUp 2026",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,1996121#1,Hoehler + alSalmy,Mexico,19,22-Jul-26,Unqualified,"SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4639072#1,Belfast Construcciones CM,Mexico,3,22-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,3888582#1,Toyota Monterrey,Mexico,6,21-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4552830#1,Gcmira,Mexico,3,21-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4596374#1,Smproyectos,Mexico,3,21-Jul-26,Below Threshold,SketchUp 2026,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,1022932#1,Agencia Global S.A De C.V,Honduras,7,20-Jul-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4542900#1,Dideproyectos,Mexico,3,20-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4530618#1,Csfproyectos,Mexico,3,17-Jul-26,Below Threshold,SketchUp 2025,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4584019#1,Corh,Mexico,3,14-Jul-26,Below Threshold,"SketchUp 2024, SketchUp 2025",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,3875986#1,Hikari,Mexico,3,14-Jul-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,2951003#1,Jireh,Honduras,3,13-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2019, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4383743#1,Guanica,Nicaragua,3,09-Jul-26,Below Threshold,"SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4565645#1,Grupovolium,Mexico,5,03-Jul-26,Below Threshold,"SketchUp 2025, SketchUp 2026",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,879605#1,Bne,Belize,3,30-Jun-26,Aborted (Closed),SketchUp Make 2017,Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,885822#1,Eduardo Minoru,Mexico,6,28-Jun-26,Aborted (Closed),"SketchUp 2026, SketchUp Make 2016, SketchUp Pro 2016, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,998140#1,Ricardo Cano,Mexico,3,26-Jun-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,1441101#2,Kyla,Mexico,42,24-Jun-26,Unqualified,"SketchUp 2025, SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,1891142#1,Inversiones Bavaro,Dominican Republic,5,18-Jun-26,Unqualified,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,519882#1,Escuela Europea Schule,Honduras,6,16-Jun-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4565551#1,Red 2000 Internet,Mexico,3,02-Jun-26,Below Threshold,"SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2021",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,416004#1,Mikanwork,Mexico,48,28-Apr-26,Aborted (Closed),"SketchUp Make 2016, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,4408359#1,Drrahim,Nicaragua,4,12-Feb-26,Below Threshold,"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Difference
Luis Indriago,luisindriago@ruvixx.com,2026-08-01 16:20:56,754149#1,Ampac De Honduras S.A De C.V,Honduras,3,05-May-25,Aborted (Closed),SketchUp Pro,Difference
