Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4661361#1,Gruponodos,Ecuador,1,27-Jul-26,Below Threshold,SketchUp 2026,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4570356#1,Ngl25,Argentina,1,27-Jul-26,Below Threshold,SketchUp Pro 2022,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4581403#1,Grin22,Colombia,1,26-Jul-26,Below Threshold,"SketchUp 2025, SketchUp Pro 2021",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4649202#1,Ardita Jaureguiberry Cristian,Argentina,1,26-Jul-26,Below Threshold,SketchUp Pro 2021,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4571881#1,Feelingity,Colombia,1,26-Jul-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2022",Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4546577#1,Corralonelmercado,Argentina,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4649963#1,Clinicademarly,Colombia,1,26-Jul-26,Below Threshold,SketchUp Pro 2023,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4553547#1,Disfarma,Colombia,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4600822#1,Mundocima,Argentina,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
Jesus Ameneiro,jesus@ruvixx.com,2026-07-28 20:34:13,4661348#1,Radiosregionales,Chile,1,26-Jul-26,Below Threshold,SketchUp 2025,Difference
