Responsible,Confirmed By,Confirmed At,Case ID,Organization Name,Country,No. ofMachines,Last Event,Case Status,Products,Type
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,1078531#1,Antna Arquitectura,Mexico,11,23-Sep-26,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,1541310#2,Insteel Panelmex S.A. de C.V.,Mexico,14,23-Sep-26,Unresolved (Closed),"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2023",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,557822#1,HANGAR52,Mexico,13,23-Sep-26,Aborted (Closed),"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022, SketchUp Pro 2023",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,1447015#1,Interiorismomty,Mexico,5,23-Sep-26,Unresolved (Closed),"SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,302711#1,Arquitectos Creativos,Mexico,12,23-Sep-26,Aborted (Closed),"SketchUp 2024, SketchUp Pro 2016, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,1362706#1,Distribuidora de Cobre del Bajio S.A. de C.V.,Mexico,3,23-Sep-26,Aborted (Closed),"SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2021",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,683395#2,Pekher Proyecto y Edificacion SA de CV,Mexico,8,23-Sep-26,Unresolved (Closed),"SketchUp 2024, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,576189#1,GRIZ Arquitectura,Mexico,10,23-Sep-26,Unresolved (Closed),"SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2020, SketchUp Pro 2021",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,1668055#2,First Albany Corp.,Mexico,4,23-Sep-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp Make 2017, SketchUp Pro 2018, SketchUp Pro 2020",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,1951278#1,Gapcostafuera,Mexico,3,23-Sep-26,Below Threshold,"SketchUp Pro 2018, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2022",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,3442191#1,Hamarquitectos,Mexico,8,23-Sep-26,Below Threshold,"SketchUp 2024, SketchUp 2025, SketchUp 2026, SketchUp Pro 2018, SketchUp Pro 2020, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
Luis Indriago,luisindriago@ruvixx.com,2026-09-24 14:57:41,4444633#1,OMG Interiores,Mexico,3,23-Sep-26,Below Threshold,"SketchUp 2025, SketchUp 2026, SketchUp Pro 2017, SketchUp Pro 2019, SketchUp Pro 2021, SketchUp Pro 2023",Outdated
